Question,Detected,Correct,IsCorrect,Ambiguous
1,A,B,False,False
2,B,C,False,False
3,B,A,False,False
4,A,D,False,False
5,C,A,False,False
6,,B,False,True
7,,C,False,False
8,A,A,True,False
9,A,D,False,False
10,,B,False,False
11,C,,False,False
12,D,,False,False
13,A,,False,False
14,,,True,False
15,,,True,False
16,,,True,False
17,,,True,False
18,,,True,False
19,,,True,False
20,,,True,False
21,D,,False,False
22,C,,False,False
23,C,,False,False
24,D,,False,False
25,A,,False,False
26,,,True,True
27,,,True,False
28,D,,False,False
29,C,,False,False
30,,,True,False
31,,,True,True
32,,,True,True
33,A,,False,False
34,,,True,False
35,,,True,False
36,,,True,False
37,,,True,False
38,,,True,False
39,,,True,False
40,,,True,False
41,A,,False,False
42,B,,False,False
43,C,,False,False
44,A,,False,False
45,B,,False,False
46,D,,False,False
47,,,True,False
48,A,,False,False
49,C,,False,False
50,,,True,False
51,B,,False,False
52,A,,False,False
53,A,,False,False
54,,,True,False
55,,,True,False
56,,,True,False
57,,,True,False
58,,,True,False
59,,,True,False
60,,,True,False
61,C,,False,False
62,C,,False,False
63,C,,False,False
64,D,,False,False
65,,,True,True
66,A,,False,False
67,,,True,False
68,C,,False,False
69,C,,False,False
70,,,True,False
71,,,True,True
72,D,,False,False
73,A,,False,False
74,,,True,False
75,,,True,False
76,,,True,False
77,,,True,False
78,,,True,False
79,,,True,False
80,,,True,False
81,B,,False,False
82,D,,False,False
83,B,,False,False
84,A,,False,False
85,D,,False,False
86,D,,False,False
87,,,True,False
88,B,,False,False
89,D,,False,False
90,,,True,False
91,B,,False,False
92,A,,False,False
93,,,True,False
94,,,True,False
95,,,True,False
96,,,True,False
97,,,True,False
98,,,True,False
99,,,True,False
100,,,True,False
